t,trust,residual,authority_scale,fault_label,supervisor_mode,hold
12.37,0.8442996728815708,0.13176532475356,0.8442996728815708,nominal,nominal,false
12.48,0.8459892856417152,0.13688104784855784,0.8459892856417152,nominal,nominal,false
12.58,0.8512478028804517,0.12652378019102914,0.8512478028804517,nominal,nominal,false
12.67,0.8556024694930371,0.12362001957260725,0.8556024694930371,nominal,nominal,false
12.77,0.8601716130705844,0.1189059072874292,0.8601716130705844,nominal,nominal,false
12.87,0.8705194299989685,0.10082656556278008,0.8705194299989685,nominal,nominal,false
12.97,0.8805644163320107,0.09185481747192843,0.8805644163320107,nominal,nominal,false
13.07,0.8952759148020932,0.07189471142663063,0.8952759148020932,nominal,nominal,false
13.17,0.9090853320088692,0.06065529403459213,0.9090853320088692,nominal,nominal,false
13.27,0.9231155095668784,0.04788234490067818,0.9231155095668784,nominal,nominal,false
13.37,0.9393625172683784,0.030784136486905925,0.9393625172683784,nominal,nominal,false
13.47,0.9498345049832985,0.029220977802734607,0.9498345049832985,nominal,nominal,false
13.57,0.9521524023651915,0.03782104715998528,0.9521524023651915,nominal,nominal,false
13.67,0.9496607311575838,0.04632822618349908,0.9496607311575838,nominal,nominal,false
13.78,0.9509234358361126,0.04027658474260138,0.9509234358361126,nominal,nominal,false
13.87,0.9506232582010697,0.04259267865645476,0.9506232582010697,nominal,nominal,false
13.97,0.9521187464524831,0.038926872304011734,0.9521187464524831,nominal,nominal,false
14.07,0.9528638525654625,0.039259156212013535,0.9528638525654625,nominal,nominal,false
14.17,0.9474966113795228,0.05205433808461739,0.9474966113795228,nominal,nominal,false
14.27,0.9450016097203766,0.05044735353093259,0.9450016097203766,nominal,nominal,false
14.37,0.9433820429102007,0.050718678415340106,0.9433820429102007,nominal,nominal,false
14.47,0.951252447226911,0.03136798731915644,0.951252447226911,nominal,nominal,false
14.57,0.9401201989067764,0.06639094347175067,0.9401201989067764,nominal,nominal,false
14.67,0.9413442764858537,0.0487480982276601,0.9413442764858537,nominal,nominal,false
14.77,0.9416810486325893,0.04962696010177386,0.9416810486325893,nominal,nominal,false
14.87,0.939559703056143,0.054780312172301046,0.939559703056143,nominal,nominal,false
14.97,0.9211379468318842,0.09383583223857381,0.9211379468318842,nominal,nominal,false
15.07,0.9032507163983953,0.109924998640355,0.9032507163983953,nominal,nominal,false
15.17,0.8853010994323067,0.12726021822183994,0.8853010994323067,nominal,nominal,false
15.27,0.8614710815791866,0.15957684437933994,0.8614710815791866,nominal,nominal,false
15.37,0.8357365111935968,0.18894305114147825,0.8357365111935968,nominal,nominal,false
15.47,0.8153737587485793,0.20190718041533942,0.8153737587485793,nominal,nominal,false
15.57,0.8042990840789369,0.19887865387726575,0.8042990840789369,nominal,nominal,false
15.68,0.7837622837398481,0.23645587265611814,0.7837622837398481,nominal,nominal,false
15.77,0.7664089710405962,0.25049421586825116,0.7664089710405962,nominal,nominal,false
15.87,0.74846736193667,0.27195562106232835,0.74846736193667,nominal,nominal,false
15.97,0.7356342004296326,0.27794858614910756,0.7356342004296326,nominal,nominal,false
16.07,0.7233626818827004,0.29135061234989296,0.7233626818827004,nominal,nominal,false
16.17,0.7119979171120631,0.303261892101469,0.7119979171120631,nominal,nominal,false
16.27,0.702434079213719,0.3115317281299625,0.702434079213719,nominal,nominal,false
16.37,0.6940951271447336,0.3194431816457038,0.6940951271447336,nominal,nominal,false
16.47,0.6875705182855681,0.32410600721468397,0.6875705182855681,nominal,nominal,false
16.57,0.6823285994297416,0.3281953547987103,0.6823285994297416,nominal,nominal,false
16.67,0.6796729389913909,0.3266847537080373,0.6796729389913909,nominal,nominal,false
16.77,0.679855416193275,0.3212271657053666,0.679855416193275,nominal,nominal,false
16.87,0.6829856569045851,0.312025154358971,0.6829856569045851,nominal,nominal,false
16.97,0.6847719590871633,0.3123034373902251,0.6847719590871633,nominal,nominal,false
17.07,0.6909156440824901,0.29707297794057697,0.6909156440824901,nominal,nominal,false
17.17,0.6981952679498513,0.286448319245051,0.6981952679498513,nominal,nominal,false
17.27,0.7098399536391695,0.2653388597830426,0.7098399536391695,nominal,nominal,false
17.37,0.7250753761435247,0.24203990047930338,0.7250753761435247,nominal,nominal,false
17.47,0.7433181715478228,0.21706580725362884,0.7433181715478228,nominal,nominal,false
17.57,0.7675624989825474,0.18187027869311878,0.7675624989825474,nominal,nominal,false
17.67,0.799399079459372,0.13822736790851833,0.799399079459372,nominal,nominal,false
